汽车品牌,车型,售价,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-16
比亚迪,海豹06新能源,9.98-13.98万,3427.0,4219.0,5234.0,344.0,1939.0,3230.0,4006.0,4068.0,3527.0,3974.0,3879.0,4077.0,2847.0,3096.0,3200.0,3495.0,3790.0,4344.0,3222.0,3127.0,3657.0,3228.0,4560.0,6050.0,6013.0,4507.0,4782.0,5216.0,6018.0,6343.0,5714.0,6210.0,6910.0,6564.0,4735.0,5880.0,6885.0
比亚迪,海豹07 DM-i,13.98-19.58万,645.0,734.0,858.0,58.0,354.0,421.0,510.0,519.0,0.0,614.0,0.0,563.0,435.0,0.0,509.0,0.0,494.0,499.0,359.0,445.0,1280.0,1262.0,1436.0,1355.0,1273.0,826.0,695.0,526.0,825.0,729.0,534.0,421.0,476.0,395.0,239.0,266.0,525.0
比亚迪,海鸥,6.98-8.58万,4015.0,5508.0,6154.0,599.0,4675.0,6935.0,8067.0,8546.0,7718.0,7724.0,7274.0,7465.0,5854.0,8095.0,8773.0,8490.0,7299.0,8433.0,6940.0,6047.0,6547.0,5628.0,6568.0,7593.0,7666.0,5495.0,4950.0,4944.0,5620.0,5624.0,4496.0,5237.0,5636.0,6320.0,4122.0,5270.0,5651.0
比亚迪,秦L,9.98-15.38万,3925.0,4734.0,5648.0,427.0,2422.0,4183.0,5257.0,5075.0,4211.0,4926.0,4337.0,5343.0,4844.0,5707.0,5698.0,6245.0,5944.0,6356.0,5363.0,5046.0,5942.0,5721.0,7202.0,8165.0,7662.0,5360.0,4552.0,5407.0,6329.0,5941.0,5166.0,5865.0,6234.0,5862.0,4376.0,5555.0,6070.0
比亚迪,秦PLUS,7.98-17.98万,5108.0,6234.0,6777.0,524.0,3585.0,5472.0,7250.0,7003.0,6827.0,7210.0,5821.0,5551.0,4170.0,6427.0,6050.0,7913.0,5246.0,6723.0,6753.0,6706.0,6764.0,6870.0,9095.0,10930.0,8389.0,7612.0,6685.0,6549.0,7224.0,7210.0,7626.0,7992.0,8673.0,8018.0,7981.0,7863.0,9240.0
比亚迪,秦Pro,7.98-11.59万,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,秦新能源,16.88万,275.0,141.0,477.0,0.0,18.0,340.0,410.0,314.0,443.0,473.0,494.0,463.0,290.0,8.0,628.0,10.0,176.0,513.0,491.0,717.0,610.0,536.0,401.0,401.0,302.0,570.0,399.0,381.0,310.0,391.0,254.0,360.0,275.0,221.0,263.0,300.0,247.0
比亚迪,驱逐舰05,7.98-13.68万,2041.0,2950.0,3570.0,332.0,1896.0,2497.0,2307.0,2248.0,1935.0,1912.0,1563.0,1318.0,1102.0,1398.0,1298.0,1143.0,823.0,764.0,432.0,433.0,322.0,361.0,255.0,362.0,364.0,248.0,524.0,278.0,250.0,257.0,465.0,1631.0,1683.0,1523.0,1536.0,2482.0,1615.0
极氪,极氪001,26.98-32.98万,755.0,1187.0,1674.0,122.0,863.0,1296.0,983.0,859.0,588.0,792.0,692.0,731.0,532.0,468.0,548.0,580.0,478.0,648.0,468.0,433.0,477.0,394.0,388.0,374.0,441.0,645.0,511.0,543.0,541.0,582.0,986.0,723.0,816.0,824.0,863.0,855.0,826.0
极氪,极氪007,20.99-29.99万,535.0,276.0,466.0,41.0,260.0,451.0,273.0,193.0,199.0,626.0,236.0,253.0,156.0,143.0,112.0,49.0,36.0,90.0,42.0,73.0,58.0,71.0,48.0,29.0,43.0,46.0,92.0,100.0,103.0,89.0,43.0,33.0,47.0,74.0,87.0,60.0,32.0
极氪,极氪007GT,20.29-26.29万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,472.0,199.0,500.0,1371.0,1397.0,1909.0,1710.0,1840.0,2127.0,1292.0,1353.0,1239.0,1470.0,842.0,1006.0,832.0,862.0,685.0,664.0,809.0,908.0,864.0,778.0,733.0,756.0
极氪,极氪009,43.90-89.90万,357.0,329.0,295.0,22.0,48.0,96.0,212.0,1112.0,1266.0,718.0,556.0,688.0,398.0,324.0,360.0,351.0,200.0,236.0,303.0,271.0,321.0,317.0,299.0,325.0,375.0,298.0,248.0,299.0,356.0,267.0,318.0,313.0,344.0,354.0,277.0,309.0,331.0
极氪,极氪7X,22.99-26.99万,896.0,1353.0,1523.0,129.0,986.0,1509.0,1518.0,1313.0,949.0,1396.0,1295.0,1323.0,1029.0,1044.0,996.0,1060.0,906.0,1309.0,1025.0,867.0,1043.0,777.0,1020.0,1084.0,877.0,1328.0,1152.0,1192.0,1396.0,1193.0,1177.0,1319.0,1416.0,1182.0,1100.0,1136.0,1203.0
极氪,极氪MIX,27.99-29.99万,79.0,32.0,37.0,6.0,10.0,27.0,41.0,47.0,37.0,34.0,30.0,36.0,34.0,29.0,27.0,29.0,15.0,23.0,20.0,22.0,24.0,265.0,18.0,23.0,12.0,9.0,39.0,4.0,9.0,14.0,4.0,4.0,13.0,10.0,11.0,14.0,15.0
极氪,极氪X,14.90-19.90万,256.0,473.0,198.0,27.0,206.0,272.0,473.0,121.0,113.0,220.0,153.0,141.0,114.0,110.0,111.0,87.0,51.0,97.0,73.0,78.0,95.0,79.0,65.0,68.0,77.0,60.0,48.0,71.0,61.0,78.0,71.0,56.0,55.0,132.0,154.0,140.0,86.0
奇瑞,QQ冰淇淋,3.69-4.39万,154.0,277.0,328.0,39.0,267.0,380.0,467.0,458.0,392.0,379.0,422.0,461.0,402.0,442.0,561.0,635.0,555.0,847.0,689.0,667.0,668.0,567.0,672.0,768.0,712.0,681.0,701.0,827.0,1004.0,748.0,307.0,402.0,379.0,421.0,455.0,478.0,634.0
奇瑞,多米,5.99-6.99万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,36.0,128.0,190.0,190.0,158.0,165.0,149.0,153.0,161.0,170.0,160.0,211.0,210.0,128.0,155.0,188.0
奇瑞,小蚂蚁,5.49-7.69万,168.0,281.0,358.0,34.0,235.0,416.0,443.0,433.0,424.0,457.0,469.0,466.0,338.0,335.0,338.0,402.0,332.0,470.0,334.0,339.0,324.0,311.0,333.0,391.0,326.0,292.0,248.0,269.0,257.0,243.0,268.0,303.0,340.0,459.0,331.0,443.0,454.0
奇瑞,探索06,9.99-15.99万,335.0,394.0,579.0,62.0,249.0,226.0,203.0,203.0,189.0,211.0,212.0,166.0,129.0,138.0,116.0,147.0,144.0,175.0,100.0,124.0,131.0,101.0,117.0,162.0,138.0,103.0,105.0,111.0,116.0,89.0,96.0,81.0,110.0,92.0,81.0,90.0,89.0
奇瑞,欧萌达,12.99万,303.0,578.0,747.0,77.0,324.0,392.0,420.0,441.0,477.0,584.0,644.0,556.0,454.0,499.0,483.0,602.0,701.0,728.0,540.0,545.0,602.0,543.0,593.0,749.0,754.0,557.0,600.0,601.0,657.0,629.0,564.0,622.0,608.0,659.0,446.0,566.0,630.0
奇瑞,瑞虎3x,5.79-6.99万,673.0,939.0,1221.0,186.0,848.0,822.0,753.0,715.0,633.0,733.0,659.0,722.0,545.0,507.0,555.0,573.0,613.0,612.0,400.0,428.0,464.0,445.0,482.0,506.0,540.0,414.0,392.0,409.0,433.0,399.0,372.0,389.0,440.0,388.0,285.0,368.0,405.0
奇瑞,瑞虎5x,5.99-9.99万,415.0,558.0,628.0,72.0,289.0,360.0,425.0,400.0,476.0,679.0,663.0,705.0,482.0,533.0,580.0,623.0,692.0,673.0,465.0,465.0,531.0,515.0,551.0,640.0,663.0,475.0,494.0,469.0,559.0,522.0,478.0,513.0,563.0,604.0,397.0,435.0,536.0
奇瑞,瑞虎7,7.49-12.98万,1373.0,1761.0,2600.0,329.0,1185.0,946.0,822.0,789.0,742.0,887.0,890.0,926.0,634.0,678.0,686.0,899.0,878.0,914.0,547.0,587.0,688.0,634.0,707.0,964.0,1182.0,705.0,726.0,775.0,836.0,823.0,750.0,861.0,886.0,827.0,566.0,747.0,703.0
奇瑞,瑞虎7 PLUS新能源,12.99-16.69万,59.0,82.0,113.0,19.0,46.0,56.0,50.0,63.0,53.0,36.0,38.0,45.0,27.0,50.0,39.0,45.0,37.0,48.0,31.0,40.0,36.0,59.0,57.0,54.0,57.0,47.0,50.0,38.0,43.0,42.0,36.0,30.0,33.0,33.0,30.0,31.0,33.0
奇瑞,瑞虎8,10.99-15.68万,2131.0,5069.0,6606.0,680.0,2581.0,2290.0,2051.0,1062.0,1883.0,1514.0,2782.0,2999.0,2044.0,2140.0,2263.0,2880.0,3226.0,3814.0,2106.0,2238.0,2695.0,2314.0,2711.0,3307.0,3615.0,2435.0,2404.0,2567.0,2746.0,2737.0,2320.0,2666.0,2924.0,2894.0,1747.0,2378.0,2850.0
奇瑞,瑞虎8 PLUS C-DM,12.99-15.89万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
奇瑞,瑞虎8 PLUS 鲲鹏e+,15.58-17.18万,58.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,57.0,61.0,59.0,62.0,39.0,65.0,65.0,64.0,63.0,62.0,48.0,53.0,70.0,39.0,73.0,75.0,59.0,58.0,34.0,35.0,50.0,43.0,28.0,28.0,42.0,27.0,27.0,29.0,0.0
奇瑞,瑞虎8 PRO,11.99-15.39万,1658.0,107.0,159.0,14.0,42.0,61.0,79.0,795.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奇瑞,瑞虎8L,12.99-17.49万,885.0,1109.0,1397.0,126.0,499.0,512.0,440.0,491.0,524.0,671.0,799.0,764.0,528.0,490.0,610.0,734.0,777.0,939.0,498.0,598.0,663.0,618.0,722.0,923.0,1015.0,777.0,750.0,803.0,846.0,886.0,701.0,822.0,965.0,1018.0,615.0,783.0,830.0
奇瑞,瑞虎9,14.79-20.99万,1372.0,1839.0,2331.0,265.0,863.0,876.0,786.0,818.0,792.0,915.0,926.0,910.0,645.0,623.0,866.0,833.0,1070.0,1084.0,750.0,817.0,924.0,773.0,996.0,1227.0,1141.0,786.0,708.0,858.0,954.0,841.0,726.0,819.0,829.0,835.0,571.0,723.0,839.0
奇瑞,瑞虎9 C-DM,16.59-18.59万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奇瑞,艾瑞泽5,5.99-6.99万,271.0,367.0,424.0,51.0,221.0,257.0,212.0,229.0,263.0,280.0,254.0,257.0,202.0,212.0,160.0,206.0,159.0,193.0,147.0,156.0,174.0,191.0,297.0,301.0,340.0,282.0,300.0,366.0,409.0,412.0,362.0,417.0,484.0,493.0,329.0,412.0,448.0
奇瑞,艾瑞泽5 PLUS,7.19-8.99万,16.0,34.0,31.0,3.0,19.0,12.0,6.0,7.0,13.0,19.0,4.0,15.0,10.0,6.0,17.0,13.0,11.0,15.0,9.0,10.0,10.0,7.0,5.0,6.0,9.0,9.0,10.0,8.0,7.0,4.0,3.0,7.0,9.0,10.0,4.0,8.0,8.0
奇瑞,艾瑞泽8,9.99-14.89万,3880.0,4824.0,6243.0,549.0,2007.0,1854.0,1708.0,1633.0,1774.0,1982.0,2162.0,2993.0,2014.0,2225.0,2287.0,2718.0,2804.0,3214.0,1983.0,2011.0,2268.0,2033.0,2266.0,2875.0,3409.0,2561.0,2294.0,2578.0,2816.0,2843.0,2209.0,2679.0,3059.0,3169.0,2187.0,2655.0,3136.0
埃安,AION LX,28.66-46.96万,0.0,3.0,9.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,5.0,30.0,5.0,3.0,7.0,6.0,70.0,16.0,1.0,1.0,1.0,4.0,4.0,3.0,9.0,14.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,5.0
埃安,AION RT,9.98-16.58万,761.0,928.0,964.0,38.0,482.0,1045.0,1251.0,1475.0,1251.0,1375.0,1388.0,1409.0,852.0,1025.0,1087.0,1214.0,749.0,1044.0,1162.0,1029.0,1032.0,689.0,963.0,1032.0,1132.0,857.0,836.0,909.0,958.0,874.0,758.0,942.0,1296.0,1361.0,803.0,1031.0,944.0
埃安,AION S,13.98-14.68万,2080.0,1772.0,705.0,106.0,369.0,1014.0,1829.0,2170.0,1464.0,1386.0,0.0,1343.0,813.0,1433.0,1255.0,849.0,1010.0,779.0,1822.0,1252.0,2058.0,1348.0,1473.0,1166.0,2018.0,2595.0,1050.0,746.0,1229.0,2123.0,1149.0,1006.0,1182.0,1047.0,897.0,713.0,800.0
埃安,AION S MAX,11.88-19.16万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
埃安,AION S Plus,11.88-15.68万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
埃安,AION UT,6.98-10.18万,0.0,0.0,0.0,0.0,0.0,100.0,184.0,342.0,1120.0,1086.0,1189.0,1383.0,823.0,843.0,909.0,1129.0,861.0,846.0,748.0,804.0,1234.0,864.0,1072.0,1301.0,1415.0,990.0,1045.0,1099.0,1349.0,1506.0,948.0,1223.0,1397.0,1639.0,812.0,1195.0,1303.0
埃安,AION V,10.98-19.36万,557.0,720.0,790.0,33.0,360.0,586.0,787.0,895.0,734.0,890.0,846.0,1014.0,599.0,674.0,730.0,769.0,486.0,580.0,570.0,543.0,617.0,513.0,620.0,692.0,742.0,458.0,452.0,550.0,472.0,472.0,352.0,366.0,397.0,469.0,712.0,1125.0,1550.0
埃安,AION Y,9.98-14.58万,1560.0,1543.0,1970.0,42.0,974.0,1867.0,2339.0,2392.0,1861.0,2289.0,2171.0,2128.0,1436.0,1515.0,1717.0,1834.0,1016.0,1434.0,1501.0,1503.0,1622.0,1121.0,1511.0,1659.0,2039.0,1989.0,1535.0,1595.0,1807.0,1937.0,1512.0,1457.0,1569.0,1921.0,1261.0,1172.0,1461.0
华为,享界S9,30.98-44.98万,140.0,181.0,252.0,14.0,44.0,168.0,206.0,232.0,217.0,183.0,145.0,155.0,315.0,208.0,177.0,177.0,379.0,105.0,330.0,707.0,1080.0,1029.0,879.0,1053.0,1070.0,481.0,327.0,381.0,537.0,513.0,420.0,592.0,360.0,319.0,278.0,196.0,194.0
华为,享界S9T,30.98-36.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,306.0,254.0
华为,尊界S800,70.80-101.80万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,33.0,47.0,21.0,56.0,55.0,31.0,112.0,134.0,146.0,212.0,166.0,206.0,315.0,331.0,357.0,485.0
华为,尚界H5,15.98-19.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251.0,847.0
华为,智界R7,24.98-33.98万,2754.0,2962.0,2949.0,274.0,1499.0,2632.0,2812.0,2359.0,2138.0,2121.0,1224.0,1861.0,1169.0,954.0,1350.0,1244.0,958.0,1156.0,1128.0,1458.0,1032.0,992.0,648.0,501.0,785.0,1044.0,780.0,798.0,1009.0,758.0,390.0,260.0,186.0,145.0,532.0,641.0,1049.0
华为,智界S7,22.98-32.98万,267.0,249.0,329.0,33.0,152.0,286.0,249.0,201.0,199.0,254.0,226.0,181.0,117.0,146.0,153.0,134.0,116.0,141.0,100.0,141.0,136.0,173.0,123.0,65.0,107.0,210.0,162.0,112.0,182.0,183.0,113.0,133.0,75.0,87.0,274.0,343.0,403.0
华为,问界M5,22.98-24.98万,163.0,137.0,457.0,33.0,93.0,144.0,318.0,368.0,73.0,36.0,5.0,476.0,968.0,430.0,637.0,1615.0,1411.0,1270.0,1082.0,1020.0,983.0,602.0,841.0,1207.0,1375.0,1012.0,908.0,1194.0,1362.0,1068.0,966.0,1244.0,1208.0,824.0,564.0,836.0,753.0
华为,问界M7,24.98-37.98万,1986.0,2534.0,2971.0,186.0,596.0,1355.0,1713.0,1794.0,1397.0,1355.0,0.0,1580.0,1101.0,1036.0,1084.0,859.0,718.0,901.0,945.0,945.0,1079.0,793.0,1007.0,1830.0,1554.0,735.0,571.0,1024.0,1443.0,933.0,742.0,588.0,907.0,1142.0,592.0,471.0,1646.0
华为,问界M8,35.98-44.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,51.0,811.0,498.0,1338.0,1213.0,1395.0,3679.0,5316.0,4300.0,5122.0,4468.0,5647.0,5044.0,4750.0,4774.0,5573.0,5307.0,3690.0,3863.0,5067.0,6144.0,4320.0,4771.0,5196.0
华为,问界M9,46.98-58.98万,2834.0,3493.0,3963.0,183.0,449.0,1464.0,1843.0,1641.0,1086.0,617.0,17.0,1401.0,2722.0,1649.0,1844.0,3897.0,3210.0,4160.0,4063.0,3134.0,2797.0,3097.0,2980.0,3373.0,3158.0,2606.0,2379.0,2482.0,2143.0,2304.0,1597.0,2013.0,2589.0,2737.0,1925.0,2517.0,2619.0
宝马,宝马1系,19.88-31.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宝马,宝马2系,25.99-27.99万,10.0,12.0,76.0,2.0,81.0,161.0,164.0,152.0,77.0,129.0,102.0,147.0,101.0,116.0,107.0,171.0,175.0,183.0,172.0,165.0,191.0,119.0,141.0,192.0,260.0,183.0,125.0,155.0,208.0,190.0,137.0,168.0,207.0,218.0,131.0,154.0,191.0
宝马,宝马3系,31.99-39.99万,2700.0,3439.0,4280.0,132.0,919.0,1837.0,1833.0,2825.0,1846.0,2728.0,3278.0,4757.0,2776.0,1963.0,2651.0,3544.0,3386.0,3047.0,3392.0,3708.0,5110.0,2628.0,3548.0,3568.0,4021.0,2335.0,1943.0,2640.0,2986.0,3228.0,1913.0,2567.0,3254.0,4139.0,1988.0,2589.0,3441.0
宝马,宝马5系,43.99-52.59万,2047.0,3030.0,3526.0,93.0,535.0,951.0,1169.0,1759.0,1344.0,1868.0,2032.0,2899.0,1728.0,1317.0,2083.0,3099.0,2624.0,2175.0,2143.0,2902.0,4005.0,1901.0,3054.0,3336.0,4283.0,2989.0,1706.0,1814.0,2401.0,2515.0,1375.0,1560.0,1932.0,2577.0,1377.0,1888.0,2392.0
宝马,宝马X1,28.89-34.99万,825.0,1392.0,1710.0,64.0,401.0,882.0,844.0,1105.0,721.0,1058.0,1167.0,1553.0,853.0,596.0,697.0,1064.0,993.0,804.0,1043.0,1319.0,1474.0,703.0,974.0,1182.0,1436.0,783.0,684.0,825.0,1012.0,1112.0,732.0,813.0,1036.0,1237.0,651.0,732.0,936.0
宝马,宝马X2,26.68-33.29万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宝马,宝马X3,34.99-44.99万,1721.0,2041.0,2200.0,86.0,657.0,1338.0,1953.0,1978.0,1125.0,1159.0,1061.0,1043.0,596.0,472.0,540.0,624.0,630.0,738.0,763.0,998.0,1326.0,707.0,1266.0,1836.0,2356.0,1391.0,1053.0,1324.0,1598.0,2003.0,1163.0,1478.0,1742.0,2227.0,1028.0,1580.0,2008.0
宝马,宝马X5,61.50-83.00万,1769.0,2628.0,3065.0,102.0,371.0,754.0,838.0,1258.0,874.0,1247.0,1371.0,1813.0,1044.0,866.0,1171.0,1513.0,1318.0,1080.0,1275.0,1360.0,1742.0,875.0,1238.0,1550.0,1882.0,1191.0,900.0,1021.0,1161.0,1330.0,820.0,982.0,1091.0,1482.0,817.0,1120.0,1358.0
宝马,宝马i3,35.39-41.39万,333.0,498.0,726.0,21.0,173.0,383.0,384.0,518.0,340.0,486.0,479.0,716.0,446.0,365.0,453.0,594.0,508.0,535.0,495.0,633.0,876.0,431.0,558.0,698.0,633.0,345.0,407.0,438.0,406.0,408.0,288.0,342.0,321.0,470.0,291.0,379.0,484.0
宝马,宝马i5,43.99-53.99万,99.0,121.0,153.0,8.0,22.0,82.0,84.0,204.0,189.0,224.0,185.0,236.0,147.0,139.0,137.0,178.0,118.0,110.0,109.0,143.0,187.0,111.0,161.0,157.0,219.0,124.0,90.0,90.0,106.0,115.0,75.0,86.0,105.0,136.0,79.0,93.0,108.0
宝马,宝马iX1,29.99-33.99万,135.0,223.0,319.0,10.0,78.0,212.0,261.0,311.0,272.0,270.0,302.0,395.0,262.0,0.0,188.0,0.0,201.0,245.0,223.0,256.0,330.0,182.0,255.0,259.0,239.0,125.0,129.0,208.0,232.0,240.0,184.0,197.0,223.0,263.0,160.0,229.0,306.0
宝马,宝马iX3,40.50-44.50万,243.0,387.0,529.0,16.0,138.0,252.0,307.0,397.0,295.0,348.0,350.0,436.0,312.0,396.0,253.0,637.0,262.0,263.0,291.0,285.0,337.0,182.0,256.0,226.0,180.0,131.0,72.0,77.0,52.0,45.0,29.0,24.0,16.0,26.0,11.0,13.0,12.0
奔驰,奔驰A级,25.13-27.57万,496.0,502.0,503.0,20.0,212.0,263.0,263.0,440.0,308.0,378.0,354.0,431.0,323.0,341.0,297.0,338.0,291.0,372.0,288.0,235.0,300.0,240.0,264.0,283.0,247.0,179.0,127.0,152.0,163.0,178.0,141.0,177.0,214.0,193.0,170.0,178.0,185.0
奔驰,奔驰A级AMG,41.66万,35.0,47.0,61.0,1.0,10.0,20.0,20.0,38.0,31.0,42.0,45.0,75.0,43.0,28.0,44.0,49.0,41.0,39.0,44.0,41.0,62.0,27.0,55.0,58.0,62.0,41.0,34.0,33.0,47.0,59.0,25.0,50.0,44.0,62.0,31.0,39.0,58.0
奔驰,奔驰C级,33.48-38.06万,3196.0,3540.0,3640.0,90.0,1131.0,1665.0,1798.0,2865.0,1855.0,2250.0,2712.0,3689.0,2542.0,2203.0,2245.0,2837.0,2705.0,3080.0,2470.0,2417.0,3050.0,2069.0,2548.0,3249.0,3359.0,2369.0,1599.0,1809.0,1952.0,2600.0,1770.0,2212.0,2576.0,3384.0,2226.0,2417.0,2941.0
奔驰,奔驰C级新能源,41.06万,68.0,78.0,110.0,3.0,25.0,67.0,62.0,71.0,61.0,62.0,67.0,99.0,73.0,54.0,55.0,57.0,61.0,76.0,55.0,74.0,88.0,52.0,69.0,96.0,101.0,69.0,70.0,46.0,57.0,57.0,47.0,65.0,75.0,92.0,60.0,66.0,62.0
奔驰,奔驰EQA,32.20万,24.0,62.0,41.0,2.0,16.0,33.0,20.0,49.0,30.0,16.0,47.0,45.0,40.0,34.0,30.0,29.0,26.0,28.0,32.0,32.0,50.0,26.0,40.0,50.0,71.0,47.0,33.0,70.0,26.0,39.0,27.0,34.0,38.0,67.0,54.0,51.0,46.0
奔驰,奔驰EQB,35.20-42.80万,61.0,84.0,88.0,4.0,17.0,66.0,38.0,69.0,49.0,43.0,62.0,59.0,62.0,51.0,55.0,75.0,45.0,43.0,42.0,63.0,80.0,53.0,69.0,77.0,109.0,110.0,53.0,56.0,52.0,80.0,36.0,46.0,60.0,79.0,61.0,48.0,83.0
奔驰,奔驰EQC,49.19-62.28万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
奔驰,奔驰EQE,47.80-62.70万,38.0,17.0,30.0,0.0,5.0,12.0,32.0,55.0,58.0,39.0,25.0,31.0,28.0,83.0,12.0,110.0,20.0,37.0,23.0,25.0,39.0,26.0,32.0,28.0,55.0,59.0,35.0,33.0,33.0,28.0,9.0,33.0,27.0,34.0,19.0,16.0,26.0
奔驰,奔驰EQE SUV,48.60-63.06万,45.0,68.0,106.0,8.0,25.0,38.0,62.0,108.0,65.0,58.0,51.0,67.0,72.0,0.0,66.0,0.0,42.0,44.0,59.0,66.0,90.0,53.0,52.0,69.0,125.0,96.0,40.0,47.0,56.0,57.0,42.0,48.0,40.0,71.0,37.0,52.0,49.0
奔驰,奔驰E级,45.18-59.98万,3797.0,3845.0,3941.0,81.0,767.0,1416.0,1683.0,2528.0,1542.0,2041.0,2362.0,3325.0,2073.0,1748.0,1954.0,2501.0,2218.0,2108.0,1895.0,2067.0,2857.0,1538.0,2221.0,2685.0,3104.0,2074.0,1439.0,1517.0,1791.0,2258.0,1520.0,1837.0,2394.0,3244.0,1964.0,2382.0,2853.0
奔驰,奔驰E级新能源,53.86万,136.0,159.0,222.0,8.0,45.0,82.0,98.0,152.0,91.0,114.0,158.0,184.0,126.0,135.0,150.0,208.0,202.0,205.0,206.0,190.0,276.0,174.0,205.0,275.0,304.0,189.0,139.0,129.0,160.0,171.0,150.0,208.0,206.0,263.0,171.0,238.0,234.0
奔驰,奔驰GLA,29.99-34.69万,107.0,136.0,142.0,3.0,66.0,76.0,95.0,141.0,98.0,96.0,122.0,159.0,104.0,109.0,96.0,123.0,90.0,139.0,95.0,87.0,113.0,82.0,71.0,99.0,87.0,90.0,81.0,88.0,80.0,96.0,119.0,89.0,99.0,123.0,80.0,80.0,77.0
奔驰,奔驰GLB,31.19-36.79万,1035.0,1266.0,1361.0,40.0,440.0,597.0,638.0,940.0,591.0,759.0,845.0,1063.0,740.0,718.0,740.0,917.0,855.0,1071.0,828.0,762.0,852.0,598.0,782.0,935.0,953.0,624.0,406.0,477.0,551.0,669.0,459.0,556.0,614.0,741.0,450.0,557.0,625.0
