汽车品牌,车型,售价,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506
理想汽车,理想L8,32.18-37.98万,4338.0,4338.0,4338.0,4338.0,0.0,0.0,0.0,0.0,0.0,5293.0,10189.0,6099.0,8192.0,6224.0,6887.0,7604.0,9618.0,11315.0,11227.0,11193.0,12142.0,12476.0,15013.0,9061.0,5457.0,6392.0,5035.0,5322.0,5754.0,6592.0,5476.0,7109.0,6471.0,6383.0,8571.0,4325.0,3340.0,5275.0,5178.0,5312.0,4338.0
理想汽车,理想L9,40.98-43.98万,4893.0,4893.0,4893.0,4893.0,0.0,0.0,0.0,10123.0,9181.0,9087.0,10582.0,7996.0,7299.0,5831.0,6082.0,6852.0,8451.0,9425.0,10933.0,11884.0,12756.0,11955.0,14913.0,8762.0,6336.0,8595.0,6560.0,6579.0,6841.0,7495.0,6696.0,7597.0,6493.0,6112.0,7751.0,4312.0,3300.0,4579.0,3801.0,5753.0,4893.0
理想汽车,理想MEGA,52.98-55.98万,2304.0,2304.0,2304.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229.0,1145.0,614.0,589.0,654.0,746.0,879.0,824.0,863.0,1255.0,807.0,681.0,916.0,103.0,994.0,2304.0
蔚来,蔚来EC6,35.80-42.80万,1932.0,1932.0,1932.0,1932.0,1828.0,1328.0,1094.0,915.0,460.0,501.0,419.0,179.0,852.0,734.0,94.0,16.0,22.0,18.0,228.0,1006.0,2549.0,2739.0,2887.0,1528.0,1209.0,1485.0,2266.0,2732.0,2481.0,2619.0,2499.0,2669.0,2397.0,2354.0,2987.0,1302.0,1478.0,1546.0,2437.0,2026.0,1932.0
蔚来,蔚来EC7,45.80-54.80万,84.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,197.0,569.0,756.0,493.0,492.0,229.0,204.0,350.0,368.0,143.0,119.0,349.0,203.0,298.0,319.0,262.0,253.0,237.0,200.0,187.0,295.0,110.0,126.0,169.0,164.0,94.0,84.0
蔚来,蔚来ES6,33.80-39.60万,4415.0,4415.0,4415.0,4415.0,5100.0,4836.0,4507.0,3507.0,1970.0,1927.0,1731.0,872.0,2848.0,853.0,174.0,1016.0,4677.0,11118.0,8601.0,7896.0,5875.0,5666.0,6943.0,3944.0,2959.0,3729.0,5527.0,8094.0,7654.0,8112.0,7694.0,7901.0,6471.0,5942.0,7406.0,2676.0,3214.0,3260.0,6866.0,5479.0,4415.0
蔚来,蔚来ES7,43.80-51.80万,339.0,339.0,339.0,339.0,0.0,0.0,398.0,1895.0,2814.0,4897.0,4154.0,961.0,942.0,1267.0,809.0,521.0,340.0,520.0,325.0,234.0,207.0,132.0,266.0,77.0,64.0,372.0,48.0,103.0,245.0,149.0,620.0,157.0,12.0,10.0,17.0,330.0,4.0,1.0,1.0,3.0,339.0
蔚来,蔚来ES8,49.80-59.80万,839.0,839.0,839.0,839.0,1684.0,1414.0,1552.0,1412.0,737.0,705.0,538.0,178.0,395.0,346.0,439.0,274.0,588.0,1917.0,2369.0,2139.0,2251.0,1658.0,1584.0,615.0,414.0,802.0,773.0,937.0,882.0,822.0,857.0,766.0,747.0,572.0,1001.0,446.0,479.0,514.0,539.0,292.0,839.0
蔚来,蔚来ET5,29.80-37.40万,1642.0,1642.0,1642.0,1642.0,0.0,0.0,0.0,221.0,1030.0,2968.0,7594.0,5795.0,6471.0,6437.0,4293.0,3224.0,2479.0,2337.0,2882.0,1299.0,1551.0,1913.0,2167.0,1330.0,1249.0,2214.0,2283.0,2497.0,2979.0,2672.0,2705.0,2378.0,2042.0,1875.0,2286.0,889.0,1055.0,1325.0,2015.0,1564.0,1642.0
蔚来,蔚来ET5T,29.80-37.40万,5103.0,5103.0,5103.0,5103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.0,3662.0,4083.0,2593.0,3105.0,3248.0,3331.0,2208.0,1983.0,2202.0,4427.0,4785.0,5578.0,5113.0,4755.0,5590.0,4306.0,4142.0,5780.0,1959.0,2526.0,2968.0,6015.0,2923.0,5103.0
